customer_id,archetype,price_tier,time_preference,day_preference,basket_size_bias,preferred_sections,preferred_categories,expected_visits,actual_visits
9246,one_timer,mid,dinner,weekday,medium,Mexican,"Food,Dessert,Side",1,1
8975,one_timer,budget,dinner,weekday,small,American,"Food,Dessert,Appetizer",1,1
7209,infrequent,budget,lunch,weekday,small,"American,Healthy_Vegan","Main,Appetizer",2,2
9326,one_timer,budget,lunch,weekday,medium,Healthy_Vegan,"Appetizer,Main",1,1
5986,infrequent,budget,lunch,any,medium,Healthy_Vegan,"Main,Food",4,3
8455,one_timer,budget,flexible,any,medium,Cafe,"Food,Side",1,1
2460,occasional,mid,lunch,weekday,medium,American,"Main,Appetizer",12,11
3316,occasional,budget,dinner,weekday,medium,Italian,"Beverage,Appetizer",8,8
2390,occasional,mid,dinner,weekend,small,Mexican,"Bakery,Main",11,11
9574,one_timer,budget,dinner,weekday,large,Italian,"Dessert,Beverage",1,1
7002,infrequent,budget,dinner,weekday,medium,American,"Appetizer,Side",4,4
2697,occasional,premium,dinner,weekday,medium,Mexican,"Dessert,Appetizer,Side",5,5
4128,occasional,mid,dinner,any,small,American,"Dessert,Side",6,6
5688,infrequent,mid,flexible,weekday,medium,Steakhouse,"Bakery,Appetizer",2,2
5500,infrequent,budget,morning,any,medium,Cafe,"Bakery,Food",2,2
5298,infrequent,premium,lunch,any,medium,"American,Healthy_Vegan","Bakery,Dessert,Main",3,3
1454,regular,budget,lunch,weekday,medium,American,"Side,Bakery",22,20
5980,infrequent,mid,lunch,any,medium,Healthy_Vegan,"Alcohol,Beverage",3,3
6854,infrequent,mid,dinner,weekend,large,Japanese,"Bakery,Alcohol",4,4
4445,occasional,budget,morning,any,medium,Cafe,"Alcohol,Main,Side",8,6
4030,occasional,mid,lunch,weekend,large,American,"Appetizer,Side,Food",5,5
1698,occasional,premium,flexible,any,large,Healthy_Vegan,"Main,Dessert",5,5
4029,occasional,budget,flexible,any,large,Steakhouse,"Food,Dessert",12,9
4492,occasional,premium,dinner,any,medium,"American,Steakhouse","Beverage,Food",9,9
9367,one_timer,mid,lunch,weekend,medium,Healthy_Vegan,"Alcohol,Main,Bakery",1,1
2704,occasional,mid,dinner,any,medium,Steakhouse,"Beverage,Bakery",5,4
9646,one_timer,premium,flexible,weekday,medium,"American,Italian","Appetizer,Side",1,1
5529,infrequent,mid,dinner,weekend,small,Mexican,"Dessert,Side,Bakery",2,2
4625,infrequent,mid,flexible,any,large,American,"Beverage,Dessert,Side",3,3
9242,one_timer,budget,dinner,weekend,medium,"Mexican,Steakhouse","Side,Food",1,1
1833,occasional,premium,dinner,any,medium,American,"Bakery,Main",11,11
6270,infrequent,mid,dinner,weekend,large,"Steakhouse,American","Side,Dessert",4,4
2745,occasional,mid,lunch,any,medium,American,"Dessert,Food",10,7
7444,infrequent,mid,dinner,any,medium,Steakhouse,"Side,Bakery",4,4
8104,one_timer,mid,lunch,any,large,Healthy_Vegan,"Appetizer,Side",1,1
2552,occasional,budget,lunch,weekday,medium,American,"Appetizer,Dessert,Beverage",5,5
2854,occasional,mid,dinner,any,medium,American,"Bakery,Beverage",9,8
60,regular,budget,morning,weekday,small,Cafe,"Side,Bakery,Dessert",18,18
2597,occasional,mid,dinner,weekend,medium,Mexican,"Alcohol,Food,Beverage",11,11
5610,infrequent,budget,dinner,weekend,medium,"American,Italian","Beverage,Main",3,3
3668,occasional,premium,lunch,any,large,"American,Healthy_Vegan","Appetizer,Beverage,Side",11,11
7922,infrequent,mid,dinner,weekday,small,Steakhouse,"Food,Main",3,3
9761,one_timer,mid,lunch,weekend,medium,"American,Healthy_Vegan","Bakery,Dessert",1,1
9550,one_timer,mid,dinner,any,large,"Steakhouse,American","Alcohol,Bakery,Beverage",1,1
9975,one_timer,premium,flexible,weekday,small,"Cafe,American","Dessert,Alcohol,Appetizer",1,1
1661,occasional,mid,dinner,weekday,medium,"American,Mexican","Food,Beverage",12,12
206,regular,premium,morning,any,medium,Cafe,"Beverage,Main",17,13
3796,occasional,mid,dinner,weekend,medium,Mexican,"Appetizer,Side,Beverage",8,4
6261,infrequent,premium,dinner,weekend,small,Mexican,"Dessert,Side",2,2
5219,infrequent,budget,dinner,weekday,medium,Mexican,"Beverage,Bakery",3,3
3102,occasional,budget,morning,any,small,Cafe,"Main,Side,Dessert",11,9
8208,one_timer,mid,dinner,weekday,small,"Japanese,American","Dessert,Side,Beverage",1,1
8636,one_timer,mid,flexible,weekday,small,American,"Appetizer,Bakery,Alcohol",1,1
1452,regular,mid,dinner,any,large,Steakhouse,"Main,Side,Bakery",17,13
1936,occasional,budget,dinner,weekday,small,American,"Food,Beverage,Side",6,6
4491,occasional,mid,lunch,weekday,medium,Healthy_Vegan,"Main,Dessert,Alcohol",12,6
6920,infrequent,premium,dinner,weekday,large,Mexican,"Dessert,Appetizer,Side",3,3
6863,infrequent,budget,dinner,weekday,small,Japanese,"Dessert,Main",3,3
8120,one_timer,mid,morning,any,large,Cafe,"Beverage,Side",1,1
7113,infrequent,premium,dinner,weekday,large,Japanese,"Bakery,Side",3,3
1286,regular,mid,lunch,weekday,medium,American,"Bakery,Alcohol,Food",18,16
4437,occasional,budget,morning,weekday,medium,Cafe,"Food,Appetizer",11,11
6908,infrequent,mid,lunch,any,small,"Healthy_Vegan,American","Alcohol,Beverage,Side",4,4
4556,infrequent,mid,morning,weekend,small,Cafe,"Alcohol,Food",4,4
5404,infrequent,premium,dinner,weekday,large,"Mexican,American","Dessert,Main,Beverage",2,2
2964,occasional,premium,morning,any,large,Cafe,"Bakery,Food",6,6
9166,one_timer,budget,dinner,any,small,American,"Side,Alcohol",1,1
7924,infrequent,mid,lunch,any,small,"American,Healthy_Vegan","Main,Dessert,Alcohol",4,4
6310,infrequent,budget,morning,any,large,Cafe,"Main,Bakery",2,2
564,regular,mid,flexible,any,small,"Steakhouse,Italian","Dessert,Food",26,23
7128,infrequent,mid,dinner,weekday,small,"American,Steakhouse","Main,Side",3,3
5451,infrequent,budget,flexible,any,small,Italian,"Bakery,Food",3,3
1667,occasional,budget,flexible,any,small,"Mexican,American","Dessert,Alcohol",9,9
2245,occasional,budget,dinner,weekday,medium,Steakhouse,"Beverage,Food",11,11
1059,regular,mid,morning,any,large,Cafe,"Beverage,Appetizer,Alcohol",24,14
6514,infrequent,budget,morning,weekend,medium,Cafe,"Appetizer,Main",2,2
9406,one_timer,mid,lunch,weekday,medium,Healthy_Vegan,"Appetizer,Dessert",1,1
4333,occasional,budget,morning,weekday,medium,Cafe,"Beverage,Main",11,10
3634,occasional,mid,dinner,any,medium,American,"Bakery,Main",11,11
6775,infrequent,premium,lunch,weekday,small,American,"Bakery,Food",3,3
2900,occasional,mid,morning,weekday,large,Cafe,"Bakery,Side",12,11
1252,regular,mid,lunch,any,small,Healthy_Vegan,"Food,Main",28,19
2890,occasional,mid,dinner,weekday,medium,Italian,"Food,Side,Beverage",9,9
78,regular,mid,morning,weekend,medium,Cafe,"Side,Main",17,9
6446,infrequent,mid,dinner,weekday,small,Japanese,"Alcohol,Side",2,2
9015,one_timer,premium,dinner,weekday,large,Japanese,"Food,Dessert",1,1
8358,one_timer,mid,morning,any,small,Cafe,"Side,Food,Main",1,1
6627,infrequent,premium,dinner,any,small,Mexican,"Main,Food",4,4
3457,occasional,budget,morning,any,large,Cafe,"Bakery,Beverage,Alcohol",6,6
858,regular,mid,lunch,any,small,American,"Beverage,Side",26,26
3899,occasional,premium,morning,any,medium,Cafe,"Bakery,Beverage",9,9
8681,one_timer,mid,dinner,any,medium,Steakhouse,"Appetizer,Dessert",1,1
3204,occasional,budget,dinner,any,small,Japanese,"Dessert,Side",5,5
4933,infrequent,budget,dinner,weekend,large,Japanese,"Main,Dessert",3,3
1073,regular,mid,dinner,weekend,large,Japanese,"Food,Beverage,Bakery",15,15
9492,one_timer,budget,morning,any,medium,Cafe,"Beverage,Bakery",1,1
714,regular,mid,lunch,any,small,"Healthy_Vegan,American","Food,Appetizer",24,21
2466,occasional,mid,lunch,any,large,Healthy_Vegan,"Food,Dessert",6,5
5402,infrequent,budget,lunch,any,medium,Healthy_Vegan,"Main,Dessert",3,3
5922,infrequent,budget,dinner,weekend,medium,Italian,"Beverage,Appetizer",2,2
7004,infrequent,premium,dinner,weekday,medium,"Mexican,American","Beverage,Alcohol",3,3
661,regular,mid,morning,weekday,small,Cafe,"Dessert,Bakery",22,13
7452,infrequent,mid,morning,weekday,medium,Cafe,"Side,Food",2,2
9170,one_timer,budget,morning,weekend,small,Cafe,"Main,Alcohol",1,1
3475,occasional,budget,dinner,any,small,Mexican,"Bakery,Beverage",5,5
1194,regular,mid,lunch,weekend,medium,Healthy_Vegan,"Side,Main,Appetizer",16,12
1869,occasional,mid,morning,weekend,large,Cafe,"Food,Main",12,8
7487,infrequent,premium,dinner,weekday,large,Steakhouse,"Bakery,Food",2,2
9632,one_timer,budget,lunch,any,medium,"American,Healthy_Vegan","Appetizer,Side",1,1
4894,infrequent,budget,morning,any,small,Cafe,"Dessert,Appetizer,Bakery",3,3
8135,one_timer,budget,morning,weekday,large,Cafe,"Main,Appetizer",1,1
7670,infrequent,budget,dinner,weekend,medium,"American,Japanese","Alcohol,Food,Dessert",3,3
2599,occasional,mid,flexible,weekday,large,Mexican,"Alcohol,Beverage",9,7
4543,infrequent,budget,lunch,weekend,small,"Healthy_Vegan,American","Main,Food",3,3
8987,one_timer,mid,lunch,any,medium,American,"Appetizer,Food",1,1
1750,occasional,mid,dinner,weekend,large,"American,Japanese","Main,Bakery",10,10
327,regular,budget,dinner,weekday,large,American,"Side,Food",18,17
7065,infrequent,premium,dinner,weekday,small,"Japanese,American","Food,Alcohol",2,2
5341,infrequent,mid,lunch,weekday,medium,Healthy_Vegan,"Dessert,Main,Appetizer",3,3
3892,occasional,mid,dinner,any,large,American,"Appetizer,Side",11,9
4189,occasional,budget,lunch,weekday,medium,Healthy_Vegan,"Side,Main",9,9
1948,occasional,budget,lunch,any,small,Healthy_Vegan,"Alcohol,Food",11,6
6235,infrequent,budget,lunch,weekday,medium,American,"Dessert,Appetizer,Food",4,4
4093,occasional,budget,dinner,weekend,small,"Italian,American","Dessert,Bakery",8,8
499,regular,premium,lunch,weekend,small,"Healthy_Vegan,American","Side,Dessert",18,16
3831,occasional,budget,flexible,weekday,small,"Healthy_Vegan,Cafe","Bakery,Side",7,7
8046,one_timer,budget,morning,weekday,medium,Cafe,"Dessert,Side,Main",1,1
5858,infrequent,budget,dinner,any,large,"Italian,American","Beverage,Bakery",2,2
6740,infrequent,mid,morning,weekend,large,Cafe,"Side,Main",4,4
7257,infrequent,mid,dinner,weekday,large,"Italian,American","Appetizer,Main",4,4
1911,occasional,mid,flexible,any,large,Cafe,"Appetizer,Dessert",10,10
8512,one_timer,mid,flexible,any,small,"Cafe,Steakhouse","Side,Main",1,1
8079,one_timer,premium,lunch,weekday,large,American,"Dessert,Bakery,Side",1,1
6416,infrequent,budget,dinner,weekday,small,"Mexican,Japanese","Side,Food",3,3
8580,one_timer,mid,dinner,any,large,American,"Appetizer,Bakery",1,1
6769,infrequent,budget,dinner,any,small,American,"Bakery,Main",3,3
1235,regular,budget,lunch,any,medium,American,"Main,Bakery",26,26
7442,infrequent,mid,dinner,any,medium,Steakhouse,"Beverage,Main,Side",4,4
2795,occasional,premium,dinner,weekday,medium,Japanese,"Beverage,Dessert",9,9
7786,infrequent,budget,morning,weekday,small,Cafe,"Appetizer,Dessert,Food",4,4
2079,occasional,budget,lunch,any,small,"American,Healthy_Vegan","Main,Beverage",5,5
1227,regular,premium,morning,any,large,Cafe,"Food,Beverage",24,13
1285,regular,premium,dinner,any,medium,"Mexican,Japanese","Dessert,Food",17,17
4091,occasional,mid,morning,weekday,medium,Cafe,"Main,Beverage,Appetizer",10,10
5109,infrequent,premium,morning,weekend,medium,Cafe,"Appetizer,Bakery",2,2
1034,regular,budget,dinner,weekday,medium,American,"Appetizer,Food",17,15
3558,occasional,budget,dinner,weekday,small,Mexican,"Appetizer,Side,Beverage",7,7
3333,occasional,mid,morning,weekday,large,Cafe,"Side,Bakery",5,5
2068,occasional,mid,lunch,any,medium,"Healthy_Vegan,American","Bakery,Side",6,6
1060,regular,budget,flexible,weekday,small,American,"Food,Dessert",27,21
8889,one_timer,budget,dinner,weekend,medium,"Italian,Japanese","Beverage,Side,Appetizer",1,1
4077,occasional,premium,dinner,any,medium,Steakhouse,"Main,Side",5,5
4877,infrequent,premium,dinner,weekday,medium,"Steakhouse,Mexican","Side,Beverage",4,4
9168,one_timer,mid,flexible,any,medium,Healthy_Vegan,"Appetizer,Food",1,1
4097,occasional,premium,lunch,any,small,American,"Bakery,Food",5,5
3465,occasional,budget,lunch,weekday,medium,Healthy_Vegan,"Side,Bakery,Dessert",7,6
1201,regular,budget,lunch,any,medium,Healthy_Vegan,"Alcohol,Main",23,10
8260,one_timer,budget,dinner,weekend,large,"Mexican,American","Beverage,Side,Main",1,1
1629,occasional,mid,morning,any,medium,Cafe,"Main,Beverage,Bakery",8,8
5830,infrequent,mid,dinner,any,small,"Steakhouse,American","Alcohol,Dessert",3,3
3646,occasional,premium,morning,weekend,small,Cafe,"Appetizer,Side",12,10
7461,infrequent,budget,lunch,any,large,Healthy_Vegan,"Side,Food",2,2
9194,one_timer,mid,dinner,weekend,small,Italian,"Beverage,Food",1,1
1617,occasional,budget,dinner,any,large,"Italian,Steakhouse","Main,Food",10,10
1210,regular,premium,dinner,weekend,medium,American,"Main,Food,Bakery",26,20
6097,infrequent,budget,dinner,any,large,Japanese,"Appetizer,Dessert",2,2
5286,infrequent,mid,lunch,any,medium,"Healthy_Vegan,American","Side,Main",2,2
8049,one_timer,mid,lunch,any,medium,Healthy_Vegan,"Side,Bakery",1,1
2173,occasional,budget,flexible,any,large,"Mexican,Steakhouse","Alcohol,Food",10,7
9323,one_timer,mid,dinner,weekday,medium,"American,Japanese","Food,Main",1,1
19,regular,budget,dinner,weekday,small,Japanese,"Side,Main",18,18
8919,one_timer,budget,flexible,weekday,large,Healthy_Vegan,"Beverage,Side",1,1
6932,infrequent,mid,morning,any,large,Cafe,"Dessert,Food",2,2
1524,occasional,mid,dinner,any,medium,"Mexican,American","Appetizer,Side,Beverage",12,12
957,regular,mid,dinner,weekday,medium,"American,Italian","Bakery,Food,Dessert",21,21
4784,infrequent,budget,morning,weekday,medium,Cafe,"Appetizer,Main",4,4
5481,infrequent,budget,lunch,any,medium,Healthy_Vegan,"Food,Main",3,2
9691,one_timer,mid,dinner,any,small,Steakhouse,"Food,Alcohol,Dessert",1,1
4124,occasional,mid,flexible,any,small,Mexican,"Beverage,Main",6,6
2710,occasional,mid,morning,weekend,large,Cafe,"Dessert,Main",10,8
1042,regular,mid,dinner,any,small,Steakhouse,"Dessert,Food",28,24
225,regular,mid,lunch,weekday,small,"Healthy_Vegan,American","Appetizer,Beverage",27,27
2211,occasional,mid,dinner,weekend,medium,Mexican,"Side,Dessert",6,6
4767,infrequent,mid,dinner,any,large,American,"Dessert,Alcohol",3,3
6004,infrequent,mid,morning,any,medium,Cafe,"Bakery,Side,Appetizer",4,4
4471,occasional,budget,morning,weekday,small,Cafe,"Beverage,Main",5,5
2026,occasional,mid,lunch,weekday,large,American,"Main,Food",9,9
67,regular,premium,lunch,weekday,medium,American,"Appetizer,Bakery,Beverage",22,21
3233,occasional,mid,dinner,any,small,Steakhouse,"Dessert,Alcohol,Side",9,7
7019,infrequent,premium,dinner,any,small,"Italian,Steakhouse","Bakery,Beverage,Side",3,3
51,regular,mid,lunch,weekday,medium,"American,Healthy_Vegan","Bakery,Beverage",28,25
4164,occasional,budget,flexible,weekday,medium,American,"Side,Alcohol,Beverage",6,6
6003,infrequent,premium,dinner,weekday,small,Italian,"Appetizer,Food",3,3
2956,occasional,mid,dinner,any,medium,Italian,"Side,Food,Appetizer",7,7
3951,occasional,mid,flexible,weekday,medium,Mexican,"Bakery,Food,Appetizer",8,8
8638,one_timer,premium,flexible,weekday,small,"Steakhouse,Italian","Main,Food",1,1
9855,one_timer,mid,flexible,weekday,medium,"Japanese,Cafe","Alcohol,Bakery,Dessert",1,1
338,regular,mid,lunch,any,medium,American,"Alcohol,Food",18,16
8856,one_timer,budget,morning,any,medium,Cafe,"Food,Main",1,1
5503,infrequent,mid,flexible,weekday,medium,Mexican,"Alcohol,Side",3,3
5126,infrequent,premium,morning,any,medium,Cafe,"Appetizer,Bakery",2,2
5732,infrequent,mid,dinner,any,medium,Steakhouse,"Alcohol,Side",4,4
1110,regular,budget,dinner,any,medium,Italian,"Appetizer,Alcohol",25,23
3600,occasional,budget,dinner,any,small,Steakhouse,"Main,Side,Bakery",8,8
2718,occasional,mid,lunch,any,medium,"Healthy_Vegan,American","Beverage,Side",10,10
8487,one_timer,budget,dinner,weekday,medium,Italian,"Dessert,Alcohol",1,1
5904,infrequent,mid,lunch,weekend,medium,"Healthy_Vegan,American","Beverage,Bakery,Food",3,3
8131,one_timer,premium,dinner,weekend,large,Italian,"Beverage,Main,Dessert",1,1
8043,one_timer,mid,dinner,weekday,medium,Japanese,"Main,Beverage",1,1
2130,occasional,budget,dinner,weekend,small,Steakhouse,"Beverage,Bakery",8,8
6890,infrequent,budget,flexible,any,medium,Italian,"Beverage,Main",3,3
8553,one_timer,mid,lunch,any,small,"American,Healthy_Vegan","Side,Bakery",1,1
9100,one_timer,budget,dinner,weekday,medium,"Italian,Japanese","Appetizer,Side",1,1
6299,infrequent,budget,dinner,weekday,small,Steakhouse,"Appetizer,Beverage,Dessert",2,2
8000,infrequent,mid,morning,weekend,medium,Cafe,"Bakery,Food",3,2
5683,infrequent,mid,lunch,any,large,"Healthy_Vegan,American","Alcohol,Appetizer",2,2
2559,occasional,premium,morning,weekday,small,Cafe,"Bakery,Dessert",7,7
2644,occasional,budget,dinner,weekend,small,American,"Appetizer,Food,Beverage",8,8
6630,infrequent,mid,dinner,weekday,large,Italian,"Dessert,Food,Bakery",3,3
9339,one_timer,mid,dinner,weekday,small,Steakhouse,"Food,Main,Dessert",1,1
2732,occasional,premium,lunch,any,small,American,"Bakery,Alcohol",9,8
7332,infrequent,premium,dinner,any,medium,Steakhouse,"Side,Appetizer",2,2
8340,one_timer,budget,dinner,weekday,medium,Italian,"Dessert,Beverage,Alcohol",1,1
632,regular,mid,lunch,any,small,Healthy_Vegan,"Food,Beverage",24,13
6562,infrequent,premium,flexible,weekday,large,Healthy_Vegan,"Main,Bakery",3,3
8156,one_timer,mid,dinner,any,medium,"American,Italian","Food,Bakery,Appetizer",1,1
1920,occasional,mid,dinner,weekday,small,Japanese,"Main,Side",7,7
2310,occasional,premium,dinner,weekend,small,"Italian,Steakhouse","Main,Alcohol",7,7
5071,infrequent,budget,dinner,weekend,large,"American,Mexican","Main,Side",2,2
3842,occasional,mid,lunch,weekday,small,"American,Healthy_Vegan","Main,Dessert,Alcohol",10,10
4140,occasional,mid,dinner,weekday,medium,Italian,"Appetizer,Bakery",7,7
3261,occasional,mid,lunch,any,medium,Healthy_Vegan,"Dessert,Alcohol,Food",10,7
7147,infrequent,mid,morning,any,small,Cafe,"Alcohol,Side",4,4
9844,one_timer,mid,flexible,weekday,small,"Mexican,Cafe","Main,Side",1,1
3628,occasional,mid,dinner,weekend,medium,"Steakhouse,Japanese","Dessert,Beverage",12,12
2747,occasional,mid,dinner,weekend,small,Italian,"Side,Main,Bakery",5,5
4224,occasional,budget,morning,weekday,small,Cafe,"Alcohol,Main,Bakery",9,9
1107,regular,mid,dinner,weekend,medium,Steakhouse,"Alcohol,Side",17,14
4855,infrequent,mid,dinner,weekday,small,Japanese,"Food,Main",4,4
7980,infrequent,budget,lunch,weekday,medium,Healthy_Vegan,"Side,Dessert",2,2
46,regular,premium,dinner,weekday,small,"American,Japanese","Side,Dessert",27,26
271,regular,mid,dinner,weekday,medium,American,"Food,Dessert,Bakery",20,17
829,regular,premium,lunch,weekday,small,"Healthy_Vegan,American","Alcohol,Bakery",16,16
6038,infrequent,mid,lunch,weekday,medium,American,"Appetizer,Main,Beverage",4,4
6663,infrequent,premium,flexible,any,large,Japanese,"Side,Dessert",3,3
7556,infrequent,mid,flexible,any,large,Japanese,"Bakery,Main",4,4
7535,infrequent,budget,dinner,weekday,large,"Mexican,American","Side,Appetizer,Dessert",4,4
5845,infrequent,budget,dinner,weekend,medium,American,"Alcohol,Food",4,4
6865,infrequent,mid,dinner,weekend,medium,Mexican,"Bakery,Dessert",3,3
2619,occasional,budget,dinner,weekday,medium,"Steakhouse,American","Beverage,Alcohol",6,6
9118,one_timer,mid,flexible,weekday,medium,Cafe,"Bakery,Appetizer",1,1
7966,infrequent,mid,flexible,weekend,large,Steakhouse,"Beverage,Dessert,Main",3,3
7939,infrequent,mid,morning,any,small,Cafe,"Alcohol,Appetizer",4,4
8369,one_timer,premium,dinner,any,medium,Steakhouse,"Dessert,Bakery,Side",1,1
7905,infrequent,premium,dinner,weekend,medium,Steakhouse,"Bakery,Beverage,Side",4,4
5397,infrequent,mid,dinner,weekday,medium,Italian,"Beverage,Bakery,Food",2,2
2186,occasional,budget,dinner,weekend,medium,Italian,"Main,Food,Alcohol",5,5
9609,one_timer,premium,flexible,weekday,medium,American,"Alcohol,Food",1,1
8750,one_timer,premium,dinner,weekday,large,American,"Appetizer,Dessert",1,1
1189,regular,mid,morning,any,medium,Cafe,"Main,Alcohol,Side",25,17
8590,one_timer,budget,morning,weekend,large,Cafe,"Beverage,Dessert,Main",1,1
6150,infrequent,mid,lunch,weekend,large,American,"Food,Bakery",2,2
4644,infrequent,mid,morning,weekend,medium,Cafe,"Bakery,Alcohol",3,2
2518,occasional,mid,morning,any,small,Cafe,"Side,Bakery",9,7
1882,occasional,mid,flexible,weekday,medium,Healthy_Vegan,"Main,Side",10,9
2805,occasional,premium,lunch,any,small,Healthy_Vegan,"Side,Beverage",12,11
2425,occasional,premium,lunch,any,small,American,"Main,Beverage",5,3
6751,infrequent,premium,flexible,any,large,Mexican,"Appetizer,Main",2,2
5514,infrequent,premium,dinner,any,large,"Mexican,Steakhouse","Side,Bakery",4,4
5832,infrequent,budget,lunch,weekday,small,"Healthy_Vegan,American","Appetizer,Alcohol",2,2
2009,occasional,budget,morning,any,medium,Cafe,"Main,Beverage,Side",7,7
6882,infrequent,premium,lunch,any,large,"Healthy_Vegan,American","Main,Bakery,Dessert",2,2
5740,infrequent,budget,morning,any,large,Cafe,"Bakery,Alcohol",2,2
7164,infrequent,mid,flexible,weekend,medium,Italian,"Beverage,Side",2,2
7685,infrequent,premium,morning,weekday,small,Cafe,"Main,Side",2,2
9171,one_timer,budget,dinner,any,large,Mexican,"Food,Main",1,1
198,regular,mid,dinner,any,medium,"Japanese,American","Appetizer,Bakery,Side",25,25
944,regular,mid,dinner,weekday,medium,Steakhouse,"Food,Main",24,18
885,regular,premium,dinner,any,large,"Mexican,Japanese","Dessert,Alcohol",20,20
4260,occasional,budget,dinner,any,medium,"American,Italian","Main,Appetizer",5,5
6710,infrequent,mid,dinner,weekend,medium,American,"Food,Alcohol",2,2
2109,occasional,budget,dinner,weekday,small,American,"Dessert,Food",6,6
3,regular,budget,dinner,any,medium,Mexican,"Food,Beverage",28,25
7660,infrequent,mid,dinner,any,medium,Mexican,"Alcohol,Appetizer",2,2
4621,infrequent,mid,morning,any,medium,Cafe,"Appetizer,Side",3,3
6825,infrequent,budget,flexible,weekday,medium,"Mexican,Cafe","Beverage,Side",3,3
1758,occasional,mid,flexible,any,medium,"Cafe,Steakhouse","Beverage,Bakery",8,7
8193,one_timer,budget,dinner,any,small,Italian,"Main,Alcohol",1,1
9073,one_timer,mid,dinner,any,medium,"Mexican,Japanese","Food,Appetizer",1,1
651,regular,premium,morning,any,small,Cafe,"Bakery,Alcohol",25,18
3394,occasional,budget,dinner,weekend,medium,Italian,"Food,Dessert",12,12
8841,one_timer,budget,morning,weekday,small,Cafe,"Beverage,Food",1,0
311,regular,budget,flexible,any,small,Mexican,"Side,Appetizer",27,14
7053,infrequent,budget,dinner,any,small,Mexican,"Dessert,Main",3,3
6067,infrequent,budget,morning,weekday,medium,Cafe,"Bakery,Main",3,3
8395,one_timer,mid,flexible,any,medium,"Italian,Healthy_Vegan","Food,Dessert,Appetizer",1,1
69,regular,budget,dinner,weekday,medium,Steakhouse,"Dessert,Side,Bakery",16,14
4239,occasional,premium,dinner,weekday,small,Japanese,"Food,Alcohol",12,12
